
                             %_LE:LE12 PI: PART                   
                             %-1-1 E: 1 Centroi  _S:S12 PI: PART-1
                 % X                  d           -1 E: 1 Centroid

               14.8               22.5572E-03       145.715      
               14.85              22.6354E-03       145.72       
               14.9               22.7135E-03       145.725      
               14.95              22.7915E-03       145.73       
               15.                22.8697E-03       145.735      
               15.05              22.9477E-03       145.74       
               15.1               23.0259E-03       145.745      
               15.15              23.104E-03        145.751      
               15.2               23.1821E-03       145.756      
               15.25              23.2601E-03       145.761      
               15.3               23.3382E-03       145.766      
               15.35              23.4164E-03       145.771      
               15.4               23.4945E-03       145.776      
               15.45              23.5726E-03       145.781      
               15.5               23.6507E-03       145.786      
               15.55              23.7288E-03       145.791      
               15.6               23.8069E-03       145.796      
               15.65              23.885E-03        145.801      
               15.7               23.9632E-03       145.806      
               15.75              24.0413E-03       145.811      
               15.8               24.1194E-03       145.816      
               15.85              24.1974E-03       145.822      
               15.9               24.2755E-03       145.827      
               15.95              24.3536E-03       145.832      
               16.                24.4318E-03       145.837      
               16.05              24.5099E-03       145.842      
               16.1               24.588E-03        145.847      
               16.15              24.6661E-03       145.852      
               16.2               24.7441E-03       145.857      
               16.25              24.8223E-03       145.862      
               16.3               24.9003E-03       145.867      
               16.35              24.9784E-03       145.872      
               16.4               25.0565E-03       145.877      
               16.45              25.1347E-03       145.882      
               16.5               25.2128E-03       145.888      
               16.55              25.2909E-03       145.893      
               16.6               25.3689E-03       145.898      
               16.65              25.447E-03        145.903      
               16.7               25.5252E-03       145.908      
               16.75              25.6032E-03       145.913      
               16.8               25.6813E-03       145.918      
               16.85              25.7594E-03       145.923      
               16.9               25.8375E-03       145.928      
               16.95              25.9156E-03       145.933      
               17.                25.9937E-03       145.938      
               17.05              26.0718E-03       145.943      
               17.1               26.1499E-03       145.948      
               17.15              26.228E-03        145.954      
               17.2               26.3061E-03       145.959      
               17.25              26.3842E-03       145.964      
               17.3               26.4623E-03       145.969      
               17.35              26.5405E-03       145.974      
               17.4               26.6185E-03       145.979      
               17.45              26.6966E-03       145.984      
               17.5               26.7747E-03       145.989      
               17.55              26.8529E-03       145.994      
               17.6               26.9309E-03       145.999      
               17.65              27.0091E-03       146.004      
               17.7               27.0871E-03       146.009      
               17.75              27.1651E-03       146.014      
               17.8               27.2433E-03       146.019      
               17.85              27.3214E-03       146.025      
               17.9               27.3995E-03       146.03       
               17.95              27.4776E-03       146.035      
               18.                27.5557E-03       146.04       
               18.05              27.6338E-03       146.045      
               18.1               27.7119E-03       146.05       
               18.15              27.7899E-03       146.055      
               18.2               27.8681E-03       146.06       
               18.25              27.946E-03        146.065      
               18.3               28.0242E-03       146.07       
               18.35              28.1024E-03       146.075      
               18.4               28.1804E-03       146.08       
               18.45              28.2586E-03       146.085      
               18.5               28.3366E-03       146.091      
               18.55              28.4147E-03       146.096      
               18.6               28.4928E-03       146.101      
               18.65              28.5709E-03       146.106      
               18.7               28.6489E-03       146.111      
               18.75              28.7271E-03       146.116      
               18.8               28.8052E-03       146.121      
               18.85              28.8833E-03       146.126      
               18.9               28.9613E-03       146.131      
               18.95              29.0395E-03       146.136      
               19.                29.1176E-03       146.141      
               19.05              29.1956E-03       146.147      
               19.1               29.2737E-03       146.152      
               19.15              29.3518E-03       146.158      
               19.2               29.4299E-03       146.164      
               19.25              29.5079E-03       146.169      
               19.3               29.5861E-03       146.175      
               19.35              29.6642E-03       146.181      
               19.4               29.7422E-03       146.186      
               19.45              29.8204E-03       146.192      
               19.5               29.8985E-03       146.198      
               19.55              29.9766E-03       146.203      
               19.6               30.0547E-03       146.209      
               19.65              30.1327E-03       146.215      
               19.7               30.2108E-03       146.22       
               19.75              30.289E-03        146.226      
               19.8               30.367E-03        146.231      
               19.85              30.445E-03        146.237      
               19.9               30.5232E-03       146.243      
               19.95              30.6013E-03       146.248      
               20.                30.6794E-03       146.254      
               20.05              30.7574E-03       146.26       
               20.1               30.8355E-03       146.265      
               20.15              30.9136E-03       146.271      
               20.2               30.9917E-03       146.277      
               20.25              31.0698E-03       146.282      
               20.3               31.1479E-03       146.288      
               20.35              31.226E-03        146.293      
               20.4               31.304E-03        146.299      
               20.45              31.3822E-03       146.305      
               20.5               31.4602E-03       146.31       
               20.55              31.5383E-03       146.316      
               20.6               31.6164E-03       146.322      
               20.65              31.6945E-03       146.327      
               20.7               31.7726E-03       146.333      
               20.75              31.8506E-03       146.339      
               20.8               31.9288E-03       146.344      
               20.85              32.0069E-03       146.35       
               20.9               32.0849E-03       146.355      
               20.95              32.1629E-03       146.361      
               21.                32.241E-03        146.367      
               21.05              32.3192E-03       146.372      
               21.1               32.3972E-03       146.378      
               21.15              32.4753E-03       146.384      
               21.2               32.5534E-03       146.389      
               21.25              32.6316E-03       146.395      
               21.3               32.7096E-03       146.401      
               21.35              32.7876E-03       146.406      
               21.4               32.8657E-03       146.412      
               21.45              32.9438E-03       146.417      
               21.5               33.0219E-03       146.423      
               21.55              33.1E-03          146.429      
               21.6               33.1781E-03       146.434      
               21.65              33.2561E-03       146.44       
               21.7               33.3342E-03       146.446      
               21.75              33.4123E-03       146.451      
               21.8               33.4905E-03       146.457      
               21.85              33.5685E-03       146.463      
               21.9               33.6465E-03       146.468      
               21.95              33.7247E-03       146.474      
               22.                33.8028E-03       146.479      
               22.05              33.8808E-03       146.485      
               22.1               33.9588E-03       146.491      
               22.15              34.0369E-03       146.496      
               22.2               34.115E-03        146.502      
               22.25              34.1931E-03       146.508      
               22.3               34.2712E-03       146.513      
               22.35              34.3493E-03       146.519      
               22.4               34.4274E-03       146.525      
               22.45              34.5054E-03       146.53       
               22.5               34.5835E-03       146.536      
               22.55              34.6616E-03       146.542      
               22.6               34.7397E-03       146.547      
               22.65              34.8177E-03       146.553      
               22.7               34.8958E-03       146.558      
               22.75              34.9739E-03       146.564      
               22.8               35.0519E-03       146.57       
               22.85              35.1301E-03       146.575      
               22.9               35.2082E-03       146.581      
               22.95              35.2862E-03       146.587      
               23.                35.3643E-03       146.592      
               23.05              35.4423E-03       146.598      
               23.1               35.5204E-03       146.604      
               23.15              35.5986E-03       146.609      
               23.2               35.6766E-03       146.615      
               23.25              35.7546E-03       146.62       
               23.3               35.8328E-03       146.626      
               23.35              35.9108E-03       146.632      
               23.4               35.9889E-03       146.637      
               23.45              36.067E-03        146.643      
               23.5               36.1451E-03       146.649      
               23.55              36.2231E-03       146.654      
               23.6               36.3011E-03       146.66       
               23.65              36.3792E-03       146.666      
               23.7               36.4574E-03       146.671      
               23.75              36.5355E-03       146.677      
               23.8               36.6134E-03       146.682      
               23.85              36.6916E-03       146.688      
               23.9               36.7696E-03       146.694      
               23.95              36.8477E-03       146.699      
               24.                36.9258E-03       146.705      
               24.05              37.0038E-03       146.711      
               24.1               37.082E-03        146.716      
               24.15              37.16E-03         146.722      
               24.2               37.2381E-03       146.728      
               24.25              37.3161E-03       146.733      
               24.3               37.3942E-03       146.739      
               24.35              37.4723E-03       146.745      
               24.4               37.5503E-03       146.75       
               24.45              37.6285E-03       146.756      
               24.5               37.7065E-03       146.761      
               24.55              37.7845E-03       146.767      
               24.6               37.8626E-03       146.773      
               24.65              37.9407E-03       146.778      
               24.7               38.0188E-03       146.784      
               24.75              38.0968E-03       146.79       
               24.8               38.1749E-03       146.795      
               24.85              38.2529E-03       146.801      
               24.9               38.331E-03        146.807      
               24.95              38.4091E-03       146.812      
               25.                38.4871E-03       146.818      
               25.05              38.5652E-03       146.823      
               25.1               38.6433E-03       146.829      
               25.15              38.7213E-03       146.835      
               25.2               38.7994E-03       146.84       
               25.25              38.8775E-03       146.846      
               25.3               38.9555E-03       146.852      
               25.35              39.0336E-03       146.857      
               25.4               39.1117E-03       146.863      
               25.45              39.1898E-03       146.869      
               25.5               39.2678E-03       146.874      
               25.55              39.3459E-03       146.88       
               25.6               39.4239E-03       146.885      
               25.65              39.502E-03        146.891      
               25.7               39.5801E-03       146.897      
               25.75              39.6581E-03       146.902      
               25.8               39.7361E-03       146.908      
               25.85              39.8144E-03       146.914      
               25.9               39.8923E-03       146.919      
               25.95              39.9704E-03       146.925      
               26.                40.0484E-03       146.931      
               26.05              40.1265E-03       146.936      
               26.1               40.2046E-03       146.942      
               26.15              40.2827E-03       146.947      
               26.2               40.3606E-03       146.953      
               26.25              40.4387E-03       146.959      
               26.3               40.5168E-03       146.964      
               26.35              40.5949E-03       146.97       
               26.4               40.673E-03        146.976      
               26.45              40.751E-03        146.981      
               26.5               40.8291E-03       146.987      
               26.55              40.9072E-03       146.993      
               26.6               40.9852E-03       146.998      
               26.65              41.0632E-03       147.004      
               26.7               41.1413E-03       147.01       
               26.75              41.2193E-03       147.015      
               26.8               41.2974E-03       147.021      
               26.85              41.3755E-03       147.026      
               26.9               41.4535E-03       147.032      
               26.95              41.5317E-03       147.038      
               27.                41.6097E-03       147.043      
               27.05              41.6877E-03       147.049      
               27.1               41.7657E-03       147.055      
               27.15              41.8438E-03       147.06       
               27.2               41.9219E-03       147.066      
               27.25              41.9999E-03       147.072      
               27.3               42.0781E-03       147.077      
               27.35              42.156E-03        147.083      
               27.4               42.2341E-03       147.088      
               27.45              42.3122E-03       147.094      
               27.5               42.3901E-03       147.1        
               27.55              42.4682E-03       147.105      
               27.6               42.5463E-03       147.111      
               27.65              42.6244E-03       147.117      
               27.7               42.7024E-03       147.122      
               27.75              42.7804E-03       147.128      
               27.8               42.8586E-03       147.134      
               27.85              42.9366E-03       147.139      
               27.9               43.0147E-03       147.145      
               27.95              43.0927E-03       147.15       
               28.                43.1707E-03       147.156      
               28.05              43.2488E-03       147.162      
               28.1               43.3268E-03       147.167      
               28.15              43.4049E-03       147.173      
               28.2               43.483E-03        147.179      
               28.25              43.561E-03        147.184      
               28.3               43.6391E-03       147.19       
               28.35              43.7171E-03       147.196      
               28.4               43.7951E-03       147.201      
               28.45              43.8732E-03       147.207      
               28.5               43.9512E-03       147.212      
               28.55              44.0293E-03       147.218      
               28.6               44.1073E-03       147.224      
               28.65              44.1854E-03       147.229      
               28.7               44.2634E-03       147.235      
               28.75              44.3415E-03       147.241      
               28.8               44.4195E-03       147.246      
               28.85              44.4976E-03       147.252      
               28.9               44.5756E-03       147.258      
               28.95              44.6536E-03       147.263      
               29.                44.7318E-03       147.269      
               29.05              44.8098E-03       147.275      
               29.1               44.8878E-03       147.28       
               29.15              44.9658E-03       147.286      
               29.2               45.044E-03        147.291      
               29.25              45.122E-03        147.297      
               29.3               45.2E-03          147.303      
               29.35              45.278E-03        147.308      
               29.4               45.356E-03        147.314      
               29.45              45.4341E-03       147.32       
               29.5               45.5123E-03       147.325      
               29.55              45.5902E-03       147.331      
               29.6               45.6682E-03       147.337      
               29.65              45.7463E-03       147.342      
               29.7               45.8244E-03       147.348      
               29.75              45.9024E-03       147.353      
               29.8               45.9804E-03       147.359      
               29.85              46.0585E-03       147.365      
               29.9               46.1366E-03       147.37       
               29.95              46.2146E-03       147.376      
               30.                46.2926E-03       147.382      
               30.05              46.3707E-03       147.387      
               30.1               46.4487E-03       147.393      
               30.15              46.5267E-03       147.399      
               30.2               46.6048E-03       147.404      
               30.25              46.6827E-03       147.41       
               30.3               46.7609E-03       147.415      
               30.35              46.8389E-03       147.421      
               30.4               46.917E-03        147.427      
               30.45              46.9949E-03       147.432      
               30.5               47.073E-03        147.438      
               30.55              47.151E-03        147.444      
               30.6               47.2291E-03       147.449      
               30.65              47.3071E-03       147.455      
               30.7               47.3851E-03       147.461      
               30.75              47.4632E-03       147.466      
               30.8               47.5413E-03       147.472      
               30.85              47.6192E-03       147.477      
               30.9               47.6972E-03       147.483      
               30.95              47.7754E-03       147.489      
               31.                47.8534E-03       147.494      
               31.05              47.9314E-03       147.5        
               31.1               48.0094E-03       147.506      
               31.15              48.0875E-03       147.511      
               31.2               48.1656E-03       147.517      
               31.25              48.2435E-03       147.523      
               31.3               48.3216E-03       147.528      
               31.35              48.3996E-03       147.534      
               31.4               48.4777E-03       147.539      
               31.45              48.5556E-03       147.545      
               31.5               48.6337E-03       147.551      
               31.55              48.7118E-03       147.556      
               31.6               48.7898E-03       147.562      
               31.65              48.8678E-03       147.568      
               31.7               48.9459E-03       147.573      
               31.75              49.0239E-03       147.579      
               31.8               49.1019E-03       147.585      
               31.85              49.1799E-03       147.59       
               31.9               49.258E-03        147.596      
               31.95              49.336E-03        147.602      
               32.                49.414E-03        147.607      
               32.05              49.4791E-03       147.612      
               32.1               49.5441E-03       147.617      
               32.15              49.6091E-03       147.621      
               32.2               49.6741E-03       147.626      
               32.25              49.7392E-03       147.631      
               32.3               49.8042E-03       147.635      
               32.35              49.8692E-03       147.64       
